Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Nissan WINGROAD 1999 Car (Used),"Rs. 3,495,000",Nissan,WINGROAD,1999,217294,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-wingroad-sale-malabe-11235180
Honda City RS Turbo 2025 Car Unregistered (Recondition),"Rs. 13,850,000",Honda,City RS Turbo,2025,-,Automatic,Petrol,1000,https://riyasewana.com/buy/honda-city-rs-sale-gampaha-11235182
Suzuki Alto 2011 Car (Used),Negotiable,Suzuki,Alto,2011,128600,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-horana-11235178
Perodua Viva Elite 2012 Car (Used),"Rs. 4,575,000",Perodua,Viva Elite,2012,108000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-viva-elite-sale-kesbewa-11235175
Nissan Wingroad 1998 Car (Used),"Rs. 2,475,000",Nissan,Wingroad,1998,185000,Manual,Petrol,1500,https://riyasewana.com/buy/nissan-wingroad-sale-kandy-11235177
Honda Insight ZE3 2012 Car (Used),"Rs. 7,950,000",Honda,Insight ZE3,2012,145000,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-insight-ze3-sale-kandy-11235176
Toyota CE100 1993 Car (Used),"Rs. 2,745,000",Toyota,CE100,1993,-,Automatic,Diesel,2000,https://riyasewana.com/buy/toyota-ce100-sale-pannala-11235173
Toyota Allion 2016 Car (Used),"Rs. 13,600,000",Toyota,Allion,2016,87000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-sale-colombo-11235172
Toyota Starlet EP82 1994 Car (Used),"Rs. 3,290,000",Toyota,Starlet EP82,1994,180000,Manual,Petrol,1300,https://riyasewana.com/buy/toyota-starlet-ep82-sale-kandy-11235166
Suzuki Alto 2015 Car (Used),"Rs. 3,595,000",Suzuki,Alto,2015,120000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-kaduwela-11235161
Suzuki Alto 2007 Car (Used),Negotiable,Suzuki,Alto,2007,123500,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-horana-11235168
Suzuki Maruti 2006 Car (Used),Negotiable,Suzuki,Maruti,2006,112300,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-horana-11235160
Honda Civic FD1 2006 Car (Used),"Rs. 6,450,000",Honda,Civic FD1,2006,170000,Automatic,Petrol,1800,https://riyasewana.com/buy/honda-civic-fd1-sale-kandy-11235151
Suzuki Maruti 2006 Car (Used),Negotiable,Suzuki,Maruti,2006,122388,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-horana-11235148
Toyota Allion 260 G 2010 Car (Used),"Rs. 8,590,000",Toyota,Allion 260 G,2010,177000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-260-sale-kandana-11235144
Toyota Belta 2008 Car (Used),Negotiable,Toyota,Belta,2008,130100,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-belta-sale-kalutara-11235145
Suzuki Wagon R FZ 2017 Car (Used),"Rs. 6,250,000",Suzuki,Wagon R FZ,2017,300000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-kuliyapitiya-11235132
Suzuki Maruti 2006 Car (Used),Negotiable,Suzuki,Maruti,2006,11200,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-horana-11235138
Toyota 110 2000 Car (Used),"Rs. 3,720,000",Toyota,110,2000,230000,Manual,Petrol,1300,https://riyasewana.com/buy/toyota-110-sale-embilipitiya-11235130
Suzuki Maruti 800 2007 Car (Used),"Rs. 2,175,000",Suzuki,Maruti 800,2007,131200,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-800-sale-divulapitiya-11235114
Toyota Premio G Superior 2015 Car (Used),"Rs. 14,000,000",Toyota,Premio G Superior,2015,88239,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-premio-g-sale-kurunegala-11235127
Toyota Aqua 2015 Car (Used),Negotiable,Toyota,Aqua,2015,97000,Automatic,Hybrid,1500,https://riyasewana.com/buy/toyota-aqua-sale-colombo-11235122
Austin Somerset 1952 Car (Used),"Rs. 1,350,000",Austin,Somerset,1952,-,Manual,Petrol,-,https://riyasewana.com/buy/austin-somerset-sale-gampola-11235123
Toyota Corolla AE110 1997 Car (Used),"Rs. 4,025,000",Toyota,Corolla AE110,1997,187000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae110-sale-maharagama-11235109
Toyota Carina AT 170 1993 Car (Used),"Rs. 2,600,000",Toyota,Carina AT 170,1993,-,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-carina-at-sale-gampaha-11235102
Nissan FB15 2000 Car (Used),"Rs. 3,950,000",Nissan,FB15,2000,110,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb15-sale-matale-11235097
Mitsubishi Lancer CS3 GLX 2010 Car (Used),"Rs. 6,675,000",Mitsubishi,Lancer CS3 GLX,2010,130000,Automatic,Petrol,1598,https://riyasewana.com/buy/mitsubishi-lancer-cs3-sale-homagama-11235107
Nissan Sunny B211 1980 Car (Used),"Rs. 780,000",Nissan,Sunny B211,1980,-,Manual,Petrol,1200,https://riyasewana.com/buy/nissan-sunny-b211-sale-gampola-11235098
Suzuki Alto 2010 Car (Used),"Rs. 2,975,000",Suzuki,Alto,2010,95000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-matale-11235095
Mitsubishi Lancer Wagon 1978 Car (Used),"Rs. 870,000",Mitsubishi,Lancer Wagon,1978,200000,Manual,Petrol,1200,https://riyasewana.com/buy/mitsubishi-lancer-wagon-sale-gampola-11235079
Toyota Belta 2007 Car (Used),"Rs. 6,125,000",Toyota,Belta,2007,132750,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-belta-sale-negombo-11235064
Nissan FB13 Anniversary 1990 Car (Used),"Rs. 2,390,000",Nissan,FB13 Anniversary,1990,160000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb13-anniversary-sale-kandy-11235062
Nissan Almera 2025 Car (Used),"Rs. 11,550,000",Nissan,Almera,2025,13000,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-almera-sale-matara-11235065
Renault Kwid RXT 2016 Car (Used),"Rs. 3,550,000",Renault,Kwid RXT,2016,118500,Manual,Petrol,800,https://riyasewana.com/buy/renault-kwid-rxt-sale-homagama-11235058
Toyota Prius S LED 2013 Car (Used),Negotiable,Toyota,Prius S LED,2013,144135,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-s-sale-tangalle-11235056
Toyota Vitz KSP90 2007 Car (Used),Negotiable,Toyota,Vitz KSP90,2007,-,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-nittambuwa-11235036
Datsun Redi-GO 2016 Car (Used),Negotiable,Datsun,Redi-GO,2016,88000,Manual,Petrol,800,https://riyasewana.com/buy/datsun-redi-go-sale-dehiwala-mount-lavinia-11235034
Suzuki Wagon R Custom Hybrid ZX 2024 Car Unregistered (Recondition),"Rs. 8,300,000",Suzuki,Wagon R Custom Hybrid ZX,2024,3300,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11221946
Toyota Vitz KSP90 2008 Car (Used),"Rs. 5,350,000",Toyota,Vitz KSP90,2008,160000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kelaniya-11235029
Hyundai I10 2016 Car (Used),"Rs. 5,050,000",Hyundai,I10,2016,97300,Automatic,Petrol,1000,https://riyasewana.com/buy/hyundai-i10-sale-colombo-11243487
Suzuki Wagon R Custom Z 2023 Car Unregistered (Recondition),"Rs. 8,250,000",Suzuki,Wagon R Custom Z,2023,500,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11200941
Suzuki Alto 800 2016 Car (Used),"Rs. 3,845,000",Suzuki,Alto 800,2016,120000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-800-sale-ragama-11200495
Nissan Ad Wagon 1983 Car (Used),"Rs. 685,000",Nissan,Ad Wagon,1983,12255,Manual,Petrol,1300,https://riyasewana.com/buy/nissan-ad-wagon-sale-matugama-11235020
Nissan WEY10 Wingroad 1997 Car (Used),"Rs. 2,550,000",Nissan,WEY10 Wingroad,1997,170000,Automatic,Diesel,1970,https://riyasewana.com/buy/nissan-wey10-wingroad-sale-colombo-11235024
Suzuki Wagon R 2010 Car (Used),"Rs. 3,525,000",Suzuki,Wagon R,2010,155210,Manual,Petrol,1060,https://riyasewana.com/buy/suzuki-wagon-r-sale-kadawatha-11235026
Nissan CUBE 2006 Car (Used),"Rs. 3,200,000",Nissan,CUBE,2006,-,Automatic,Petrol,1300,https://riyasewana.com/buy/nissan-cube-sale-horana-11235014
Mitsubishi Lancer Wagon 1975 Car (Used),"Rs. 675,000",Mitsubishi,Lancer Wagon,1975,2500,Manual,Petrol,1400,https://riyasewana.com/buy/mitsubishi-lancer-wagon-sale-gampola-11234998
Toyota Passo 2017 Car (Used),"Rs. 6,650,000",Toyota,Passo,2017,103000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-passo-sale-negombo-11234994
Toyota Starlet Glanza V 1996 Car (Used),Negotiable,Toyota,Starlet Glanza V,1996,161000,Manual,Petrol,1330,https://riyasewana.com/buy/toyota-starlet-glanza-sale-malabe-11234960
Toyota Axio X Limited 2008 Car (Used),"Rs. 6,990,000",Toyota,Axio X Limited,2008,185000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-x-sale-kuliyapitiya-11234973
Toyota Premio 2008 Car (Used),"Rs. 8,800,000",Toyota,Premio,2008,165000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-premio-sale-colombo-11234990
Renault Kwid RXT 2018 Car (Used),"Rs. 3,800,000 (Ongoing Lease)",Renault,Kwid RXT,2018,89000,Manual,Petrol,800,https://riyasewana.com/buy/renault-kwid-rxt-sale-ja-ela-11234967
Mini Cooper 2002 Car (Used),"Rs. 6,500,000",Mini,Cooper,2002,75000,Manual,Petrol,1500,https://riyasewana.com/buy/mini-cooper-sale-kegalle-11234951
Daihatsu Mira L Grade 2024 Car Unregistered (Recondition),"Rs. 6,290,000",Daihatsu,Mira L Grade,2024,5366,Automatic,Petrol,658,https://riyasewana.com/buy/daihatsu-mira-l-sale-gampaha-11234950
Tata NANO 2011 Car (Used),"Rs. 1,575,000",Tata,NANO,2011,214000,Manual,Petrol,624,https://riyasewana.com/buy/tata-nano-sale-malabe-11234949
Toyota Vitz Rs 2008 Car (Used),Negotiable,Toyota,Vitz Rs,2008,152000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-vitz-rs-sale-matale-11234947
Ford 323 2001 Car (Used),"Rs. 2,900,000",Ford,323,2001,296000,Manual,Petrol,1500,https://riyasewana.com/buy/ford-323-sale-kandy-11234943
Nissan March K12 2002 Car (Used),"Rs. 4,275,000",Nissan,March K12,2002,154300,Automatic,Petrol,1300,https://riyasewana.com/buy/nissan-march-k12-sale-panadura-11234941
Toyota Ist110 2008 Car (Used),Negotiable,Toyota,Ist110,2008,180000,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-ist110-sale-avissawella-11234932
Toyota AQUA Urban 2015 Car (Used),Negotiable,Toyota,AQUA Urban,2015,168000,Automatic,Hybrid,1500,https://riyasewana.com/buy/toyota-aqua-urban-sale-negombo-11234938
Toyota Vitz 2017 Car (Used),"Rs. 8,075,000",Toyota,Vitz,2017,41000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-sale-kuliyapitiya-11234931
Toyota Corolla Dx Wagon KE72 1986 Car (Used),Negotiable,Toyota,Corolla Dx Wagon KE72,1986,152000,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-dx-sale-matale-11234911
Suzuki Alto 800 LXI 2017 Car (Used),"Rs. 4,490,000",Suzuki,Alto 800 LXI,2017,20000,Manual,Petrol,799,https://riyasewana.com/buy/suzuki-alto-800-sale-malabe-11234909
Audi A1 2018 Car (Used),"Rs. 9,000,000",Audi,A1,2018,96000,Automatic,Petrol,1000,https://riyasewana.com/buy/audi-a1-sale-kandy-11234901
Audi A4 2003 Car (Used),"Rs. 4,800,000",Audi,A4,2003,188000,Automatic,Petrol,2000,https://riyasewana.com/buy/audi-a4-sale-colombo-11234881
Mazda Astina 1993 Car (Used),"Rs. 1,900,000",Mazda,Astina,1993,1,Manual,Petrol,1500,https://riyasewana.com/buy/mazda-astina-sale-moneragala-11234883
Mitsubishi Lancer Box 1980 Car (Used),"Rs. 1,090",Mitsubishi,Lancer Box,1980,90000,Manual,Petrol,1400,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kalutara-11234871
Suzuki Alto 2024 Car (Used),Negotiable,Suzuki,Alto,2024,2000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-alto-sale-kalutara-11234890
Chery QQ 2006 Car (Used),"Rs. 1,590,000",Chery,QQ,2006,82000,Manual,Petrol,800,https://riyasewana.com/buy/chery-qq-sale-ragama-11234874
Nissan March 2002 Car (Used),"Rs. 3,150,000",Nissan,March,2002,160000,Automatic,Petrol,1300,https://riyasewana.com/buy/nissan-march-sale-kandy-11234858
Suzuki Alto 800 2015 Car (Used),"Rs. 3,690,000",Suzuki,Alto 800,2015,100000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-800-sale-hanwella-11234865
Suzuki Zen 2004 Car (Used),"Rs. 2,250,000",Suzuki,Zen,2004,130000,Manual,Petrol,1000,https://riyasewana.com/buy/suzuki-zen-sale-dambulla-11234846
Honda CIVIC 2017 Car (Used),"Rs. 12,500,000",Honda,CIVIC,2017,112000,Automatic,Petrol,1000,https://riyasewana.com/buy/honda-civic-sale-ragama-11234852
Toyota Axio 141 X Grade 2007 Car (Used),"Rs. 6,875,000",Toyota,Axio 141 X Grade,2007,166000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-141-sale-kurunegala-11234824
Toyota Vios 2004 Car (Used),"Rs. 5,290,000",Toyota,Vios,2004,155000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-vios-sale-piliyandala-11234806
Suzuki Alto Japan 2018 Car (Used),"Rs. 5,590,000",Suzuki,Alto Japan,2018,85000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-alto-japan-sale-malabe-11234809
Nissan Leaf 2013 Car (Used),"Rs. 4,450,000",Nissan,Leaf,2013,56000,Automatic,Petrol,-,https://riyasewana.com/buy/nissan-leaf-sale-gampaha-11234789
Toyota Prius S Grade 2012 Car (Used),Negotiable,Toyota,Prius S Grade,2012,-,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-s-sale-chilaw-11234785
Suzuki Wagon R Fx Safety 2017 Car (Used),Negotiable,Suzuki,Wagon R Fx Safety,2017,97000,Automatic,Hybrid,-,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11234801
Toyota Carina 1987 Car (Used),"Rs. 1,375,000",Toyota,Carina,1987,1,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-carina-sale-horana-11234776
Toyota AXIO G GRADE 2016 Car (Used),"Rs. 11,200,000",Toyota,AXIO G GRADE,2016,132000,Automatic,Hybrid,1500,https://riyasewana.com/buy/toyota-axio-g-sale-ragama-11234774
Toyota Premio 2007 Car (Used),"Rs. 8,675,000",Toyota,Premio,2007,146038,Automatic,Petrol,1490,https://riyasewana.com/buy/toyota-premio-sale-kelaniya-11220832
Honda Grace 2015 Car (Used),"Rs. 8,900,000",Honda,Grace,2015,135000,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-grace-sale-colombo-11238336
Audi A3 2018 Car (Used),"Rs. 14,500,000",Audi,A3,2018,53000,Automatic,Petrol,999,https://riyasewana.com/buy/audi-a3-sale-malabe-11239121
Suzuki Spacia Hybrid X 2024 Car (Used),"Rs. 7,900,000",Suzuki,Spacia Hybrid X,2024,10000,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-spacia-hybrid-sale-colombo-11219650
Mazda Familia 1997 Car (Used),Negotiable,Mazda,Familia,1997,17000,Automatic,Petrol,1,https://riyasewana.com/buy/mazda-familia-sale-dompe-11234773
Suzuki Alto 2009 Car (Used),"Rs. 2,950,000",Suzuki,Alto,2009,115000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-matale-11234767
Suzuki Wagon R FZ 2017 Car (Used),Negotiable,Suzuki,Wagon R FZ,2017,68000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-polonnaruwa-11234756
Toyota Corolla AE100 1993 Car (Used),"Rs. 24,500,000",Toyota,Corolla AE100,1993,240000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae100-sale-kurunegala-11234741
Toyota Yaris Ativ 2025 Car (Used),"Rs. 15,675,000",Toyota,Yaris Ativ,2025,83,Automatic,Petrol,1200,https://riyasewana.com/buy/toyota-yaris-ativ-sale-colombo-11234732
Nissan HB11 Long Buffer 1985 Car (Used),"Rs. 995,000",Nissan,HB11 Long Buffer,1985,205869,Manual,Petrol,1500,https://riyasewana.com/buy/nissan-hb11-long-sale-nittambuwa-11234752
Nissan B11 1983 Car (Used),"Rs. 610,000",Nissan,B11,1983,183345,Manual,Petrol,1300,https://riyasewana.com/buy/nissan-b11-sale-moneragala-11234730
Suzuki Alto 800 2015 Car (Used),"Rs. 3,790,000",Suzuki,Alto 800,2015,97000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-800-sale-bandarawela-11234728
Mitsubishi Lancer A172A 1980 Car (Used),"Rs. 1,625,000",Mitsubishi,Lancer A172A,1980,-,Manual,Petrol,1400,https://riyasewana.com/buy/mitsubishi-lancer-a172a-sale-kuliyapitiya-11234706
Toyota COROLLA CE100 1991 Car (Used),"Rs. 2,345,000",Toyota,COROLLA CE100,1991,-,Manual,Diesel,1970,https://riyasewana.com/buy/toyota-corolla-ce100-sale-kurunegala-11234697
Toyota Aqua S Grade 2012 Car (Used),"Rs. 6,200,000",Toyota,Aqua S Grade,2012,160000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-aqua-s-sale-dehiwala-mount-lavinia-11234692
Mercedes-Benz CLA 180 Premium Plus 2019 Car (Used),"Rs. 22,900,000",Mercedes-Benz,CLA 180 Premium Plus,2019,59000,Automatic,Petrol,1400,https://riyasewana.com/buy/mercedes-benz-cla-180-sale-moratuwa-11234688
Nissan Pulsar Fn15 2000 Car (Used),"Rs. 3,175,000",Nissan,Pulsar Fn15,2000,225000,Manual,Petrol,1500,https://riyasewana.com/buy/nissan-pulsar-fn15-sale-moneragala-11234683
Tata Indigo 2007 Car (Used),"Rs. 2,000,000",Tata,Indigo,2007,5000,Manual,Diesel,1400,https://riyasewana.com/buy/tata-indigo-sale-gampola-11234680
Daihatsu TAFT G DARK CHROME VENTURE 2025 Car Brand New,"Rs. 8,400,000",Daihatsu,TAFT G DARK CHROME VENTURE,2025,-,Automatic,Petrol,650,https://riyasewana.com/buy/daihatsu-taft-g-sale-welisara-11234672
Suzuki Wagon R FX Safety 2025 Car Unregistered (Recondition),"Rs. 7,650,000",Suzuki,Wagon R FX Safety,2025,6800,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-colombo-11234664
Suzuki Alto 2017 Car (Used),"Rs. 3,975,000",Suzuki,Alto,2017,138000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-anuradapura-11234663
Suzuki Alto 2015 Car (Used),Negotiable,Suzuki,Alto,2015,109000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11234653
Renault Kwid 2016 Car (Used),"Rs. 3,750,000",Renault,Kwid,2016,80000,Manual,Petrol,800,https://riyasewana.com/buy/renault-kwid-sale-malabe-11234643
Suzuki Wagon R 2016 Car (Used),"Rs. 5,800,000",Suzuki,Wagon R,2016,92000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-kaduwela-11234642
Perodua Bezza 2017 Car (Used),"Rs. 6,650,000",Perodua,Bezza,2017,181000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-bezza-sale-kolonnawa-11234640
Toyota ALLION 2008 Car (Used),"Rs. 7,550,000",Toyota,ALLION,2008,253000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-sale-anuradapura-11234634
Kia Picanto 2016 Car (Used),"Rs. 5,590,000",Kia,Picanto,2016,55200,Automatic,Petrol,998,https://riyasewana.com/buy/kia-picanto-sale-malabe-11234626
Kia Picanto 2016 Car (Used),"Rs. 5,590,000",Kia,Picanto,2016,77000,Automatic,Petrol,998,https://riyasewana.com/buy/kia-picanto-sale-malabe-11234633
Toyota Corolla AE100 1994 Car (Used),Negotiable,Toyota,Corolla AE100,1994,-,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae100-sale-ratnapura-11234625
Toyota Allion 2010 Car (Used),"Rs. 8,150,000",Toyota,Allion,2010,123,Automatic,Petrol,123,https://riyasewana.com/buy/toyota-allion-sale-gampaha-11234623
Kia Picanto 2016 Car (Used),"Rs. 5,690,000",Kia,Picanto,2016,77000,Automatic,Petrol,998,https://riyasewana.com/buy/kia-picanto-sale-malabe-11234619
Kia Picanto 2016 Car (Used),"Rs. 5,790,000",Kia,Picanto,2016,70900,Automatic,Petrol,998,https://riyasewana.com/buy/kia-picanto-sale-malabe-11234615
Chevrolet Cruze 2004 Car (Used),"Rs. 3,525,000",Chevrolet,Cruze,2004,131000,Automatic,Petrol,1000,https://riyasewana.com/buy/chevrolet-cruze-sale-minuwangoda-11234613
Toyota Corolla DX Wagon KE72 1986 Car (Used),"Rs. 1,290,000",Toyota,Corolla DX Wagon KE72,1986,278413,Manual,Petrol,1300,https://riyasewana.com/buy/toyota-corolla-dx-sale-kurunegala-11234608
Toyota Allion 260 G Grade 2009 Car (Used),"Rs. 8,600,000",Toyota,Allion 260 G Grade,2009,135000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-260-sale-embilipitiya-11234600
Honda FIT GP5 2014 Car (Used),"Rs. 7,750,000",Honda,FIT GP5,2014,147500,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-fit-gp5-sale-piliyandala-11234598
Suzuki Wagon R Stingray 2018 Car (Used),"Rs. 6,975,000",Suzuki,Wagon R Stingray,2018,88106,Automatic,Petrol,660,https://riyasewana.com/buy/suzuki-wagon-r-sale-gampola-11234581
Toyota Corolla AE81 1987 Car (Used),"Rs. 1,390,000",Toyota,Corolla AE81,1987,278451,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae81-sale-kurunegala-11234576
Toyota Yaris 2007 Car (Used),"Rs. 6,300,000",Toyota,Yaris,2007,178000,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-yaris-sale-katunayake-11234569
Mazda Carol G Grade 2015 Car (Used),"Rs. 5,175,000",Mazda,Carol G Grade,2015,86000,Automatic,Hybrid,660,https://riyasewana.com/buy/mazda-carol-g-sale-kegalle-11234578
Zotye Z100 2020 Car (Used),"Rs. 3,350,000",Zotye,Z100,2020,78000,Manual,Petrol,1000,https://riyasewana.com/buy/zotye-z100-sale-galle-11234559
Toyota Corolla AE81 1987 Car (Used),"Rs. 1,390,000",Toyota,Corolla AE81,1987,268451,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae81-sale-kurunegala-11234561
Suzuki Celerio VXI 2016 Car (Used),"Rs. 5,095,000 (Ongoing Lease)",Suzuki,Celerio VXI,2016,121000,Automatic,Petrol,1000,https://riyasewana.com/buy/suzuki-celerio-vxi-sale-kelaniya-11234556
Toyota Yaris 2008 Car (Used),"Rs. 6,500,000",Toyota,Yaris,2008,221000,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-yaris-sale-kandana-11234544
Suzuki Swift 2005 Car (Used),"Rs. 4,250,000",Suzuki,Swift,2005,131000,Manual,Petrol,1300,https://riyasewana.com/buy/suzuki-swift-sale-colombo-11233809
Suzuki Spacia Hybrid X 2024 Car (Used),"Rs. 7,900,000",Suzuki,Spacia Hybrid X,2024,10000,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-spacia-hybrid-sale-colombo-11219650
Toyota Corolla 121 2007 Car (Used),"Rs. 6,400,000",Toyota,Corolla 121,2007,120000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-121-sale-kegalle-11234531
Toyota Prius 2014 Car (Used),"Rs. 10,800,000",Toyota,Prius,2014,144000,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-sale-kalutara-11216242
Suzuki Hustler 2023 Car Unregistered (Recondition),"Rs. 8,500,000",Suzuki,Hustler,2023,9200,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-hustler-sale-polgahawela-11245359
Mitsubishi Lancer 1987 Car (Used),"Rs. 1,095,000",Mitsubishi,Lancer,1987,123456,Manual,Petrol,1460,https://riyasewana.com/buy/mitsubishi-lancer-sale-moratuwa-11234511
Toyota Vitz 2019 Car (Used),"Rs. 8,400,000",Toyota,Vitz,2019,68000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-sale-kuliyapitiya-11234507
Toyota Carina Si My Road 2000 Car (Used),"Rs. 5,950,000",Toyota,Carina Si My Road,2000,200000,Automatic,Petrol,1800,https://riyasewana.com/buy/toyota-carina-si-sale-kuliyapitiya-11234499
Nissan Dayz 2015 Car (Used),"Rs. 5,790,000",Nissan,Dayz,2015,49860,Automatic,Petrol,650,https://riyasewana.com/buy/nissan-dayz-sale-kalutara-11234489
Toyota KE 73 1986 Car (Used),"Rs. 2,150,000",Toyota,KE 73,1986,200,Manual,Petrol,1300,https://riyasewana.com/buy/toyota-ke-73-sale-moratuwa-11234478
Mitsubishi LIBERO 1997 Car (Used),"Rs. 2,850,000",Mitsubishi,LIBERO,1997,100000,Automatic,Petrol,1460,https://riyasewana.com/buy/mitsubishi-libero-sale-kurunegala-11234493
Toyota Belta 2007 Car (Used),"Rs. 6,250,000",Toyota,Belta,2007,161000,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-belta-sale-negombo-11234461
Bajaj Re 2019 Car (Used),Negotiable,Bajaj,Re,2019,48000,Manual,Petrol,216,https://riyasewana.com/buy/bajaj-re-sale-kurunegala-11234458
Toyota Carina Corona EFI 1990 Car (Used),"Rs. 2,090,000",Toyota,Carina Corona EFI,1990,214564,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-carina-corona-sale-kurunegala-11234465
Toyota Vitz Jewela 2018 Car (Used),Negotiable,Toyota,Vitz Jewela,2018,68325,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-jewela-sale-kaduwela-11234446
Toyota Roomy GT Limited 2024 Car Unregistered (Recondition),Negotiable,Toyota,Roomy GT Limited,2024,8950,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-roomy-gt-sale-gampaha-11234441
Nissan Dayz 2017 Car (Used),"Rs. 5,600,000",Nissan,Dayz,2017,141000,Automatic,Petrol,-,https://riyasewana.com/buy/nissan-dayz-sale-kandy-11234439
Toyota Vitz 2010 Car (Used),"Rs. 6,000,000",Toyota,Vitz,2010,172000,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-vitz-sale-pannala-11234436
Suzuki Spacia Custom GS 2023 Car (Used),"Rs. 8,350,000",Suzuki,Spacia Custom GS,2023,20000,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-spacia-custom-sale-kandy-11234434
Nissan N16 2001 Car (Used),Negotiable,Nissan,N16,2001,190000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-n16-sale-nittambuwa-11234445
